Date,Open,High,Low,Close,volume,vix,cpi,gdp,unemployment,sentiment_mean,sentiment_std,news_count,previous_open,previous_high,previous_low,previous_close,previous_day_return,opening_gap,previous_volume,second_previous_volume,previous_volume_change,previous_vix,previous_cpi,previous_gdp,previous_unemployment,previous_sentiment_mean,previous_sentiment_std,previous_news_count,gross_open_to_close_return,simulated_entry_price,simulated_exit_price,return_after_slippage,round_trip_transaction_cost,net_open_to_close_return,target_profitable,target_loss
2020-08-05,157.18850708007812,160.67950439453125,156.36500549316406,160.25149536132812,78330000,22.989999771118164,259.316,20558.879,8.4,0.0661503333333333,0.2598981870946134,6,155.0605010986328,158.36199951171875,155.0605010986328,156.94149780273438,0.012130727624213522,0.001573893971970497,93886000.0,101494000.0,-0.07496009616332,23.76000022888184,259.316,20558.879,8.4,0.0979748888888888,0.0874795431607362,9.0,0.01948608290865428,157.22780420684816,160.2114324874878,0.018976467271109243,0.0005,0.018476467271109243,1,0
2020-08-06,159.71800231933594,162.37350463867188,158.27149963378906,161.25,78812000,22.64999961853028,259.316,20558.879,8.4,0.1737111428571428,0.3109943248144723,7,157.18850708007812,160.67950439453125,156.36500549316406,160.25149536132812,0.01948608290865428,-0.0033290986819766166,78330000.0,93886000.0,-0.16569030526383055,22.989999771118164,259.316,20558.879,8.4,0.0661503333333333,0.2598981870946134,6.0,0.009591891073124081,159.7579318199158,161.2096875,0.009087221295031922,0.0005,0.008587221295031922,1,0
2020-08-07,161.20050048828125,162.04049682617188,157.0334930419922,158.3730010986328,78722000,22.209999084472656,259.316,20558.879,8.4,0.0921925,0.0608373461329469,2,159.71800231933594,162.37350463867188,158.27149963378906,161.25,0.009591891073124081,-0.0003069737160852348,78812000.0,78330000.0,0.006153453338439974,22.64999961853028,259.316,20558.879,8.4,0.1737111428571428,0.3109943248144723,7.0,-0.01754026433592859,161.24080061340334,158.33340784835815,-0.018031371426987963,0.0005,-0.018531371426987964,0,1
2020-08-10,158.5155029296875,158.62550354003906,155.0760040283203,157.4080047607422,63346000,22.1299991607666,259.316,20558.879,8.4,0.2112165454545454,0.1177573519380965,11,161.20050048828125,162.04049682617188,157.0334930419922,158.3730010986328,-0.01754026433592859,0.0008997861382062933,78722000.0,78812000.0,-0.0011419580774501004,22.209999084472656,259.316,20558.879,8.4,0.0921925,0.0608373461329469,2.0,-0.006986686781270679,158.55513180541993,157.36865275955202,-0.007483069342239745,0.0005,-0.007983069342239746,0,1
2020-08-11,155.66000366210938,157.96099853515625,153.64999389648438,154.0334930419922,74362000,24.030000686645508,259.316,20558.879,8.4,0.2846320833333333,0.182521073361884,12,158.5155029296875,158.62550354003906,155.0760040283203,157.4080047607422,-0.006986686781270679,-0.011104906013450488,63346000.0,78722000.0,-0.1953202408475394,22.1299991607666,259.316,20558.879,8.4,0.2112165454545454,0.1177573519380965,11.0,-0.010449123614617473,155.69891866302493,153.9949846687317,-0.010943775389866461,0.0005,-0.011443775389866462,0,1
2020-08-12,155.39999389648438,158.71949768066406,155.0709991455078,158.11199951171875,70442000,22.280000686645508,259.316,20558.879,8.4,0.198436,0.1327861682254593,2,155.66000366210938,157.96099853515625,153.64999389648438,154.0334930419922,-0.010449123614617473,0.008871452743850039,74362000.0,63346000.0,0.17390206169292455,24.030000686645508,259.316,20558.879,8.4,0.2846320833333333,0.182521073361884,12.0,0.017451774271245446,155.4388438949585,158.07247151184083,0.01694317553379432,0.0005,0.01644317553379432,1,0
2020-08-13,159.14950561523438,160.87600708007812,157.75,158.05099487304688,62980000,22.1299991607666,259.316,20558.879,8.4,0.16642525,0.1361610811080023,8,155.39999389648438,158.71949768066406,155.0709991455078,158.11199951171875,0.017451774271245446,0.006561842913375582,70442000.0,74362000.0,-0.05271509642021466,22.280000686645508,259.316,20558.879,8.4,0.198436,0.1327861682254593,2.0,-0.0069023823727313305,159.18929299163818,158.0114821243286,-0.007398807075369329,0.0005,-0.00789880707536933,0,1
2020-08-14,158.90899658203125,158.91200256347656,156.0,157.4010009765625,55034000,22.049999237060547,259.316,20558.879,8.4,-0.0580194999999999,0.3829471123804173,2,159.14950561523438,160.87600708007812,157.75,158.05099487304688,-0.0069023823727313305,0.005428638457312784,62980000.0,70442000.0,-0.1059311206382556,22.1299991607666,259.316,20558.879,8.4,0.16642525,0.1361610811080023,8.0,-0.009489680495781694,158.94872383117678,157.36165072631837,-0.009984811872689625,0.0005,-0.010484811872689626,0,1
2020-08-17,158.656005859375,159.74850463867188,157.70899963378906,159.12049865722656,53824000,21.350000381469727,259.316,20558.879,8.4,0.204562909090909,0.0982738864790179,11,158.90899658203125,158.91200256347656,156.0,157.4010009765625,-0.009489680495781694,0.007973296707302291,55034000.0,62980000.0,-0.12616703715465227,22.049999237060547,259.316,20558.879,8.4,-0.0580194999999999,0.3829471123804173,2.0,0.0029276723269036076,158.69566986083987,159.08071853256226,0.00242633382536539,0.0005,0.0019263338253653899,1,0
2020-08-18,160.60000610351562,166.0,160.29100036621094,165.62449645996094,106920000,21.51000022888184,259.316,20558.879,8.4,0.1605933,0.1503384726402024,10,158.656005859375,159.74850463867188,157.70899963378906,159.12049865722656,0.0029276723269036076,0.009298031735535117,53824000.0,55034000.0,-0.02198640840207866,21.350000381469727,259.316,20558.879,8.4,0.204562909090909,0.0982738864790179,11.0,0.031285742001819994,160.6401561050415,165.58309033584595,0.03077022800931717,0.0005,0.03027022800931717,1,0
2020-08-19,165.15049743652344,165.7949981689453,162.8000030517578,163.0240020751953,83702000,22.540000915527344,259.316,20558.879,8.4,0.2116958571428571,0.2224799023285987,7,160.60000610351562,166.0,160.29100036621094,165.62449645996094,0.031285742001819994,-0.0028618895970626834,106920000.0,53824000.0,0.9864744351961949,21.51000022888184,259.316,20558.879,8.4,0.1605933,0.1503384726402024,10.0,-0.012876106305071522,165.19178506088258,162.98324607467652,-0.013369544892272267,0.0005,-0.013869544892272268,0,1
2020-08-20,162.60000610351562,165.63099670410156,161.89999389648438,164.86849975585938,66650000,22.71999931335449,259.316,20558.879,8.4,0.14554125,0.1185953478749623,4,165.15049743652344,165.7949981689453,162.8000030517578,163.0240020751953,-0.012876106305071522,-0.0026008193044121386,83702000.0,106920000.0,-0.21715301159745604,22.540000915527344,259.316,20558.879,8.4,0.2116958571428571,0.2224799023285987,7.0,0.013951374951976181,162.64065610504153,164.82728263092042,0.013444525976743948,0.0005,0.012944525976743948,1,0
2020-08-21,164.75,165.72000122070312,163.76950073242188,164.23599243164062,71518000,22.540000915527344,259.316,20558.879,8.4,0.1554545,0.3217039982411367,4,162.60000610351562,165.63099670410156,161.89999389648438,164.86849975585938,0.013951374951976181,-0.0007187531640965306,66650000.0,83702000.0,-0.20372273063965018,22.71999931335449,259.316,20558.879,8.4,0.14554125,0.1185953478749623,4.0,-0.003119924542393737,164.7911875,164.19493343353273,-0.0036182400012578775,0.0005,-0.004118240001257878,0,1
2020-08-24,165.50750732421875,169.01600646972656,162.8780059814453,165.3730010986328,93326000,22.3700008392334,259.316,20558.879,8.4,0.2329304999999999,0.1351514404085283,2,164.75,165.72000122070312,163.76950073242188,164.23599243164062,-0.003119924542393737,0.007741999020752788,71518000.0,66650000.0,0.0730382595648913,22.540000915527344,259.316,20558.879,8.4,0.1554545,0.3217039982411367,4.0,-0.0008126895737874396,165.54888420104982,165.33165784835816,-0.0013121583618035393,0.0005,-0.0018121583618035393,0,1
2020-08-25,164.74949645996094,167.8699951171875,163.35000610351562,167.32449340820312,79856000,22.030000686645508,259.316,20558.879,8.4,0.1470898,0.3181144182966248,5,165.50750732421875,169.01600646972656,162.8780059814453,165.3730010986328,-0.0008126895737874396,-0.003770292820047483,93326000.0,71518000.0,0.30493022735535114,22.3700008392334,259.316,20558.879,8.4,0.2329304999999999,0.1351514404085283,2.0,0.015629771280472493,164.79068383407594,167.28266228485109,0.015122083316823076,0.0005,0.014622083316823076,1,0
2020-08-26,167.5554962158203,172.58700561523438,167.22850036621094,172.09249877929688,130174000,23.270000457763672,259.316,20558.879,8.4,0.200747,0.0,1,164.74949645996094,167.8699951171875,163.35000610351562,167.32449340820312,0.015629771280472493,0.0013805677992022591,79856000.0,93326000.0,-0.14433276900327885,22.030000686645508,259.316,20558.879,8.4,0.1470898,0.3181144182966248,5.0,0.027077611095685405,167.59738508987428,172.04947565460205,0.02656420064275067,0.0005,0.026064200642750668,1,0
2020-08-27,172.50250244140625,172.64999389648438,168.89999389648438,170.0,85296000,24.46999931335449,259.316,20558.879,8.4,0.1951086,0.073578752743574,5,167.5554962158203,172.58700561523438,167.22850036621094,172.09249877929688,0.027077611095685405,0.0023824609731257773,130174000.0,79856000.0,0.6301091965537968,23.270000457763672,259.316,20558.879,8.4,0.200747,0.0,1.0,-0.01450705007746933,172.54562806701662,169.9575,-0.014999673396600799,0.0005,-0.0154996733966008,0,1
2020-08-28,171.14999389648438,171.6685028076172,169.3249969482422,170.08999633789062,57940000,22.959999084472656,259.316,20558.879,8.4,0.1318824,0.1158770829771788,5,172.50250244140625,172.64999389648438,168.89999389648438,170.0,-0.01450705007746933,0.006764669979319793,85296000.0,130174000.0,-0.34475394472014376,24.46999931335449,259.316,20558.879,8.4,0.1951086,0.073578752743574,5.0,-0.00619338356059107,171.1927813949585,170.04747383880616,-0.0066901626740324405,0.0005,-0.007190162674032441,0,1
2020-08-31,170.44949340820312,174.75,170.25,172.54800415039062,83718000,26.40999984741211,259.316,20558.879,8.4,0.240643,0.1226694765436781,5,171.14999389648438,171.6685028076172,169.3249969482422,170.08999633789062,-0.00619338356059107,0.0021135697457381752,57940000.0,85296000.0,-0.32071843931720123,22.959999084472656,259.316,20558.879,8.4,0.1318824,0.1158770829771788,5.0,0.012311627921133494,170.49210578155518,172.50486714935303,0.01180559861449959,0.0005,0.01130559861449959,1,0
2020-09-01,174.47900390625,175.69349670410156,173.35000610351562,174.95599365234375,68644000,26.1200008392334,259.997,20558.879,7.8,0.1582101,0.2182103791194024,10,170.44949340820312,174.75,170.25,172.54800415039062,0.012311627921133494,0.011191087172334635,83718000.0,57940000.0,0.44490852606144293,26.40999984741211,259.316,20558.879,8.4,0.240643,0.1226694765436781,5.0,0.0027337945277934317,174.52262365722657,174.91225465393066,0.002232552940926169,0.0005,0.001732552940926169,1,0
2020-09-02,177.35000610351562,177.6125030517578,174.33450317382812,176.57249450683594,78630000,26.56999969482422,259.997,20558.879,7.8,0.119895,0.0,1,174.47900390625,175.69349670410156,173.35000610351562,174.95599365234375,0.0027337945277934317,0.013683512071778647,68644000.0,83718000.0,-0.18005685754556966,26.1200008392334,259.997,20558.879,7.8,0.1582101,0.2182103791194024,10.0,-0.00438405170522449,177.3943436050415,176.52835138320924,-0.004881735258483566,0.0005,-0.0053817352584835665,0,1
2020-09-03,174.25,174.42050170898438,165.14999389648438,168.39999389648438,163222000,33.599998474121094,259.997,20558.879,7.8,0.151259909090909,0.1170564921065504,11,177.35000610351562,177.6125030517578,174.33450317382812,176.57249450683594,-0.00438405170522449,-0.013153206638002346,78630000.0,68644000.0,0.14547520540761028,26.56999969482422,259.997,20558.879,7.8,0.119895,0.0,1.0,-0.03357248839894189,174.2935625,168.35789389801025,-0.03405558138149689,0.0005,-0.03455558138149689,0,1
2020-09-04,165.89999389648438,169.0749969482422,155.55650329589844,164.7310028076172,175636000,30.75,259.997,20558.879,7.8,0.0,0.0,0,174.25,174.42050170898438,165.14999389648438,168.39999389648438,-0.03357248839894189,-0.014845606238779063,163222000.0,78630000.0,1.075823477044385,33.599998474121094,259.997,20558.879,7.8,0.151259909090909,0.1170564921065504,11.0,-0.0070463600474668375,165.94146889495852,164.6898200569153,-0.007542712779260219,0.0005,-0.00804271277926022,0,1
2020-09-08,157.1999969482422,162.54249572753906,156.5,157.49200439453125,121884000,31.459999084472656,259.997,20558.879,7.8,0.2831373333333333,0.0668122147689577,3,165.89999389648438,169.0749969482422,155.55650329589844,164.7310028076172,-0.0070463600474668375,-0.04571699152569453,175636000.0,163222000.0,0.076055923833797,30.75,259.997,20558.879,7.8,0.0,0.0,0.0,0.0018575537656353447,157.23929694747926,157.45263139343263,0.0013567501896465384,0.0005,0.0008567501896465384,1,0
2020-09-09,160.14950561523438,165.15899658203125,159.25,163.4304962158203,103774000,28.809999465942383,259.997,20558.879,7.8,0.2305824285714285,0.1460688322456883,7,157.1999969482422,162.54249572753906,156.5,157.49200439453125,0.0018575537656353447,0.01687388023868097,121884000.0,175636000.0,-0.3060420414949099,31.459999084472656,259.997,20558.879,7.8,0.2831373333333333,0.0668122147689577,3.0,0.02048704794923717,160.1895429916382,163.38963859176636,0.01997693195426109,0.0005,0.01947693195426109,1,0
2020-09-10,165.36099243164062,167.4945068359375,158.52749633789062,158.7554931640625,106614000,29.709999084472656,259.997,20558.879,7.8,0.0082426666666666,0.2475698949805219,6,160.14950561523438,165.15899658203125,159.25,163.4304962158203,0.02048704794923717,0.011812337724722788,103774000.0,121884000.0,-0.1485838994453743,28.809999465942383,259.997,20558.879,7.8,0.2305824285714285,0.1460688322456883,7.0,-0.03994593386532075,165.40233267974855,158.7158042907715,-0.040425840921624046,0.0005,-0.040925840921624046,0,1
2020-09-11,160.4344940185547,160.86700439453125,154.19900512695312,155.81100463867188,101880000,26.8700008392334,259.997,20558.879,7.8,0.1034554999999999,0.3213439696034453,2,165.36099243164062,167.4945068359375,158.52749633789062,158.7554931640625,-0.03994593386532075,0.010576017377597502,106614000.0,103774000.0,0.027367163258619653,29.709999084472656,259.997,20558.879,7.8,0.0082426666666666,0.2475698949805219,6.0,-0.02881854932860073,160.47460264205935,155.77205188751222,-0.029304018686596933,0.0005,-0.029804018686596934,0,1
2020-09-14,158.64700317382812,159.3695068359375,154.8000030517578,155.14849853515625,90592000,25.850000381469727,259.997,20558.879,7.8,0.1629162857142857,0.2940190914241875,7,160.4344940185547,160.86700439453125,154.19900512695312,155.81100463867188,-0.02881854932860073,0.01820152910080375,101880000.0,106614000.0,-0.04440317406719563,26.8700008392334,259.997,20558.879,7.8,0.1034554999999999,0.3213439696034453,2.0,-0.022052131894597427,158.6866649246216,155.10971141052246,-0.02254098361571988,0.0005,-0.02304098361571988,0,1
