Date,ticker,open,high,low,close,adjusted_close,volume,sma_short,sma_long,vix,cpi,gdp,unemployment,sentiment_mean,sentiment_std,news_count
2022-01-31,AMZN,144.75,150.36050415039062,144.30050659179688,149.57350158691406,149.57350158691406,78308000,142.4094970703125,155.48084869384766,24.82999992370605,282.543,21932.71,4.0,0.121372,0.0133284503600381,3
2022-02-01,AMZN,150.0,151.70799255371094,147.62750244140625,151.19349670410156,151.19349670410156,59220000,144.6509979248047,154.52029876708986,21.959999084472656,284.5,21932.71,3.9,0.2462245,0.1657662137399134,4
2022-02-02,AMZN,155.05050659179688,155.0749969482422,148.86349487304688,150.6125030517578,150.6125030517578,87330000,146.9989990234375,153.67482376098633,22.09000015258789,284.5,21932.71,3.9,0.1642338,0.2334990950286531,5
2022-02-03,AMZN,141.7375030517578,144.24749755859375,138.33299255371094,138.8455047607422,138.8455047607422,225532000,146.8406005859375,152.3992492675781,24.350000381469727,284.5,21932.71,3.9,0.1537881818181818,0.1603507075037825,11
2022-02-04,AMZN,155.60650634765625,161.1999969482422,150.60800170898438,157.63949584960938,157.63949584960938,253456000,149.572900390625,152.11852416992187,23.21999931335449,284.5,21932.71,3.9,0.3186985714285714,0.1184230518295278,7
2022-02-07,AMZN,158.52000427246094,162.6909942626953,157.25,157.9355010986328,157.9355010986328,102624000,151.24530029296875,151.8875991821289,22.86000061035156,284.5,21932.71,3.9,0.2633954999999999,0.0689916146056895,6
2022-02-08,AMZN,156.75050354003906,161.79249572753906,155.55050659179688,161.4134979248047,161.4134979248047,76040000,153.28930053710937,151.88397445678712,21.440000534057617,284.5,21932.71,3.9,0.2828392857142857,0.1290710811035458,7
2022-02-09,AMZN,162.87350463867188,163.83450317382812,160.25,161.1894989013672,161.1894989013672,68786000,155.40469970703126,151.67534942626952,19.959999084472656,284.5,21932.71,3.9,-0.0082105,0.1952852152941947,2
2022-02-10,AMZN,158.35000610351562,160.7165069580078,157.75,159.0034942626953,159.0034942626953,68268000,159.43629760742186,151.3651741027832,23.90999984741211,284.5,21932.71,3.9,0.2650956666666667,0.1625808372320264,6
2022-02-11,AMZN,158.13450622558594,159.0,152.73399353027344,153.2935028076172,153.2935028076172,77100000,158.56709899902344,150.969149017334,27.36000061035156,284.5,21932.71,3.9,0.1781367142857143,0.2103013058025035,7
