Metric,Value
Accuracy,0.5364238410596026
Balanced Accuracy,0.5098151408450704
Precision - BUY,0.5625
Recall - BUY,0.06338028169014084
F1 Score - BUY,0.11392405063291139
Specificity - NO_TRADE,0.95625
ROC-AUC,0.5547975352112676
True Positive,9.0
False Positive,7.0
True Negative,153.0
False Negative,133.0
