Date,ticker,Open,High,Low,Close,adjusted_close,volume,vix,cpi,gdp,unemployment,sentiment_mean,sentiment_std,news_count
2020-08-03,AMZN,159.02549743652344,159.1999969482422,155.1999969482422,155.59449768066406,155.59449768066406,101494000,24.280000686645508,259.316,20558.879,8.4,0.25901975,0.1842069016726596,12
2020-08-04,AMZN,155.0605010986328,158.36199951171875,155.0605010986328,156.94149780273438,156.94149780273438,93886000,23.76000022888184,259.316,20558.879,8.4,0.0979748888888888,0.0874795431607362,9
2020-08-05,AMZN,157.18850708007812,160.67950439453125,156.36500549316406,160.25149536132812,160.25149536132812,78330000,22.989999771118164,259.316,20558.879,8.4,0.0661503333333333,0.2598981870946134,6
2020-08-06,AMZN,159.71800231933594,162.37350463867188,158.27149963378906,161.25,161.25,78812000,22.64999961853028,259.316,20558.879,8.4,0.1737111428571428,0.3109943248144723,7
2020-08-07,AMZN,161.20050048828125,162.04049682617188,157.0334930419922,158.3730010986328,158.3730010986328,78722000,22.209999084472656,259.316,20558.879,8.4,0.0921925,0.0608373461329469,2
2020-08-10,AMZN,158.5155029296875,158.62550354003906,155.0760040283203,157.4080047607422,157.4080047607422,63346000,22.1299991607666,259.316,20558.879,8.4,0.2112165454545454,0.1177573519380965,11
2020-08-11,AMZN,155.66000366210938,157.96099853515625,153.64999389648438,154.0334930419922,154.0334930419922,74362000,24.030000686645508,259.316,20558.879,8.4,0.2846320833333333,0.182521073361884,12
2020-08-12,AMZN,155.39999389648438,158.71949768066406,155.0709991455078,158.11199951171875,158.11199951171875,70442000,22.280000686645508,259.316,20558.879,8.4,0.198436,0.1327861682254593,2
2020-08-13,AMZN,159.14950561523438,160.87600708007812,157.75,158.05099487304688,158.05099487304688,62980000,22.1299991607666,259.316,20558.879,8.4,0.16642525,0.1361610811080023,8
2020-08-14,AMZN,158.90899658203125,158.91200256347656,156.0,157.4010009765625,157.4010009765625,55034000,22.049999237060547,259.316,20558.879,8.4,-0.0580194999999999,0.3829471123804173,2
2020-08-17,AMZN,158.656005859375,159.74850463867188,157.70899963378906,159.12049865722656,159.12049865722656,53824000,21.350000381469727,259.316,20558.879,8.4,0.204562909090909,0.0982738864790179,11
2020-08-18,AMZN,160.60000610351562,166.0,160.29100036621094,165.62449645996094,165.62449645996094,106920000,21.51000022888184,259.316,20558.879,8.4,0.1605933,0.1503384726402024,10
2020-08-19,AMZN,165.15049743652344,165.7949981689453,162.8000030517578,163.0240020751953,163.0240020751953,83702000,22.540000915527344,259.316,20558.879,8.4,0.2116958571428571,0.2224799023285987,7
2020-08-20,AMZN,162.60000610351562,165.63099670410156,161.89999389648438,164.86849975585938,164.86849975585938,66650000,22.71999931335449,259.316,20558.879,8.4,0.14554125,0.1185953478749623,4
2020-08-21,AMZN,164.75,165.72000122070312,163.76950073242188,164.23599243164062,164.23599243164062,71518000,22.540000915527344,259.316,20558.879,8.4,0.1554545,0.3217039982411367,4
2020-08-24,AMZN,165.50750732421875,169.01600646972656,162.8780059814453,165.3730010986328,165.3730010986328,93326000,22.3700008392334,259.316,20558.879,8.4,0.2329304999999999,0.1351514404085283,2
2020-08-25,AMZN,164.74949645996094,167.8699951171875,163.35000610351562,167.32449340820312,167.32449340820312,79856000,22.030000686645508,259.316,20558.879,8.4,0.1470898,0.3181144182966248,5
2020-08-26,AMZN,167.5554962158203,172.58700561523438,167.22850036621094,172.09249877929688,172.09249877929688,130174000,23.270000457763672,259.316,20558.879,8.4,0.200747,0.0,1
2020-08-27,AMZN,172.50250244140625,172.64999389648438,168.89999389648438,170.0,170.0,85296000,24.46999931335449,259.316,20558.879,8.4,0.1951086,0.073578752743574,5
2020-08-28,AMZN,171.14999389648438,171.6685028076172,169.3249969482422,170.08999633789062,170.08999633789062,57940000,22.959999084472656,259.316,20558.879,8.4,0.1318824,0.1158770829771788,5
2020-08-31,AMZN,170.44949340820312,174.75,170.25,172.54800415039062,172.54800415039062,83718000,26.40999984741211,259.316,20558.879,8.4,0.240643,0.1226694765436781,5
2020-09-01,AMZN,174.47900390625,175.69349670410156,173.35000610351562,174.95599365234375,174.95599365234375,68644000,26.1200008392334,259.997,20558.879,7.8,0.1582101,0.2182103791194024,10
2020-09-02,AMZN,177.35000610351562,177.6125030517578,174.33450317382812,176.57249450683594,176.57249450683594,78630000,26.56999969482422,259.997,20558.879,7.8,0.119895,0.0,1
2020-09-03,AMZN,174.25,174.42050170898438,165.14999389648438,168.39999389648438,168.39999389648438,163222000,33.599998474121094,259.997,20558.879,7.8,0.151259909090909,0.1170564921065504,11
2020-09-04,AMZN,165.89999389648438,169.0749969482422,155.55650329589844,164.7310028076172,164.7310028076172,175636000,30.75,259.997,20558.879,7.8,0.0,0.0,0
2020-09-08,AMZN,157.1999969482422,162.54249572753906,156.5,157.49200439453125,157.49200439453125,121884000,31.459999084472656,259.997,20558.879,7.8,0.2831373333333333,0.0668122147689577,3
2020-09-09,AMZN,160.14950561523438,165.15899658203125,159.25,163.4304962158203,163.4304962158203,103774000,28.809999465942383,259.997,20558.879,7.8,0.2305824285714285,0.1460688322456883,7
2020-09-10,AMZN,165.36099243164062,167.4945068359375,158.52749633789062,158.7554931640625,158.7554931640625,106614000,29.709999084472656,259.997,20558.879,7.8,0.0082426666666666,0.2475698949805219,6
2020-09-11,AMZN,160.4344940185547,160.86700439453125,154.19900512695312,155.81100463867188,155.81100463867188,101880000,26.8700008392334,259.997,20558.879,7.8,0.1034554999999999,0.3213439696034453,2
2020-09-14,AMZN,158.64700317382812,159.3695068359375,154.8000030517578,155.14849853515625,155.14849853515625,90592000,25.850000381469727,259.997,20558.879,7.8,0.1629162857142857,0.2940190914241875,7
2020-09-15,AMZN,156.80799865722656,158.75100708007812,155.4459991455078,157.80650329589844,157.80650329589844,80430000,25.59000015258789,259.997,20558.879,7.8,0.243294,0.1414187382854549,9
2020-09-16,AMZN,158.99949645996094,159.36199951171875,153.70750427246094,153.90499877929688,153.90499877929688,90244000,26.040000915527344,259.997,20558.879,7.8,0.1990014,0.142203465002791,5
2020-09-17,AMZN,150.46249389648438,151.47149658203125,148.62750244140625,150.43649291992188,150.43649291992188,128982000,26.459999084472656,259.997,20558.879,7.8,0.2325686,0.1229834903098785,5
2020-09-18,AMZN,151.58700561523438,151.88999938964844,145.27699279785156,147.74549865722656,147.74549865722656,177852000,25.82999992370605,259.997,20558.879,7.8,0.3745239999999999,0.0478117321167095,2
2020-09-21,AMZN,145.3249969482422,148.10000610351562,143.5500030517578,148.02349853515625,148.02349853515625,122358000,27.780000686645508,259.997,20558.879,7.8,0.2224615,0.1262603268643796,6
