classifier,probability_threshold,buy_count,buy_rate,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,total_return,sharpe_ratio,maximum_drawdown,win_rate,average_trade_return,number_of_trades,return_stability,sharpe_stability,classification_pass,economic_pass,objective_score
ExtraTreesBUY,0.32,37,0.06271186440677966,0.5420691408235893,0.10810810810810811,0.14285714285714285,0.12307692307692308,0.6119725470259278,0.09097025678449397,0.08881124293374687,0.3554050732717631,-0.08137415001444848,0.5405405405405406,0.002766974381603573,37,0.03447604717963664,0.7674450064578191,False,True,0.42914081917501223
ExtraTreesBUY,0.34,31,0.05254237288135593,0.5474072191154041,0.12903225806451613,0.14285714285714285,0.13559322033898305,0.6119725470259278,0.09097025678449397,0.15698548738879858,0.5753260229519276,-0.08137415001444848,0.5806451612903226,0.005239099191988532,31,0.04378637596116489,0.5688950518906646,False,True,0.6445371583021641
ExtraTreesBUY,0.36,23,0.03898305084745763,0.5545246568378241,0.17391304347826086,0.14285714285714285,0.1568627450980392,0.6119725470259278,0.09097025678449397,0.23729817412605492,0.9066539349823398,-0.08137415001444825,0.5652173913043478,0.009807554750824966,23,0.09129155664911971,0.6374902327684134,False,True,0.9026033486132177
ExtraTreesBUY,0.38,18,0.030508474576271188,0.5402262328418912,0.16666666666666666,0.10714285714285714,0.13043478260869565,0.6119725470259278,0.09097025678449397,0.13224361182825684,0.6297146097513978,-0.08137415001444825,0.5,0.007408073820015626,18,0.046731397255523215,0.5431716570560517,False,True,0.6187344989900132
RandomForestBUY,0.32,36,0.061016949152542375,0.5429588205388917,0.1111111111111111,0.14285714285714285,0.125,0.5406075241484494,0.06493512332165786,0.08187755115290862,0.33750454869078406,-0.08062058622129009,0.4722222222222222,0.0026468165137538534,36,0.08184844034497758,1.3669709512765018,False,True,0.36126783668656076
RandomForestBUY,0.34,27,0.04576271186440678,0.5322191154041688,0.1111111111111111,0.10714285714285714,0.10909090909090909,0.5406075241484494,0.06493512332165786,0.025963973653836625,0.1636461847637972,-0.12107701955132755,0.48148148148148145,0.0013273649401729843,27,0.05076536244070172,1.4805220002315342,False,True,0.18575204949012686
RandomForestBUY,0.36,22,0.03728813559322034,0.5179206914082359,0.09090909090909091,0.07142857142857142,0.08,0.5406075241484494,0.06493512332165786,0.019364124366950897,0.1375256391256176,-0.11127669153101094,0.5,0.0012751799571544516,22,0.03142559599645232,1.4256321682797437,False,True,0.14667244385029865
