Metric,Value
Accuracy,0.9370860927152318
Balanced Accuracy,0.5420918367346939
Precision - BUY,0.07692307692307693
Recall - BUY,0.125
F1 Score - BUY,0.09523809523809523
Specificity - NO_TRADE,0.9591836734693877
ROC-AUC,0.42176870748299317
Average Precision,0.14649822959382228
BUY Prediction Count,13.0
BUY Prediction Rate,0.04304635761589404
True Positive,1.0
False Positive,12.0
True Negative,282.0
False Negative,7.0
