Date,Open,High,Low,Close,previous_open,previous_close,previous_day_return,opening_gap,previous_decline_condition,gap_down_condition,entry_signal,signal,position,entry_price,exit_price,gross_open_to_close_return,return_after_slippage,transaction_cost_return,net_strategy_return,gross_strategy_return,portfolio_value,cumulative_return,running_peak,drawdown,trade_outcome
2020-08-04,155.0605010986328,158.36199951171875,155.0605010986328,156.94149780273438,159.02549743652344,155.59449768066406,-0.021575154998203283,-0.00343197600166556,True,True,True,BUY_OPEN_SELL_CLOSE,1,155.09926622390748,156.9022624282837,0.012130727624213522,0.011624788745121073,0.0005,0.011124788745121073,0.012130727624213522,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,WIN
2020-08-05,157.18850708007812,160.67950439453125,156.36500549316406,160.25149536132812,155.0605010986328,156.94149780273438,0.012130727624213522,0.001573893971970497,False,False,False,NO_TRADE,0,,,0.01948608290865428,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-06,159.71800231933594,162.37350463867188,158.27149963378906,161.25,157.18850708007812,160.25149536132812,0.01948608290865428,-0.0033290986819766166,False,True,False,NO_TRADE,0,,,0.009591891073124081,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-07,161.20050048828125,162.04049682617188,157.0334930419922,158.3730010986328,159.71800231933594,161.25,0.009591891073124081,-0.0003069737160852348,False,True,False,NO_TRADE,0,,,-0.01754026433592859,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-10,158.5155029296875,158.62550354003906,155.0760040283203,157.4080047607422,161.20050048828125,158.3730010986328,-0.01754026433592859,0.0008997861382062933,False,False,False,NO_TRADE,0,,,-0.006986686781270679,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-11,155.66000366210938,157.96099853515625,153.64999389648438,154.0334930419922,158.5155029296875,157.4080047607422,-0.006986686781270679,-0.011104906013450488,False,True,False,NO_TRADE,0,,,-0.010449123614617473,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-12,155.39999389648438,158.71949768066406,155.0709991455078,158.11199951171875,155.66000366210938,154.0334930419922,-0.010449123614617473,0.008871452743850039,False,False,False,NO_TRADE,0,,,0.017451774271245446,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-13,159.14950561523438,160.87600708007812,157.75,158.05099487304688,155.39999389648438,158.11199951171875,0.017451774271245446,0.006561842913375582,False,False,False,NO_TRADE,0,,,-0.0069023823727313305,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-14,158.90899658203125,158.91200256347656,156.0,157.4010009765625,159.14950561523438,158.05099487304688,-0.0069023823727313305,0.005428638457312784,False,False,False,NO_TRADE,0,,,-0.009489680495781694,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-17,158.656005859375,159.74850463867188,157.70899963378906,159.12049865722656,158.90899658203125,157.4010009765625,-0.009489680495781694,0.007973296707302291,False,False,False,NO_TRADE,0,,,0.0029276723269036076,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-18,160.60000610351562,166.0,160.29100036621094,165.62449645996094,158.656005859375,159.12049865722656,0.0029276723269036076,0.009298031735535117,False,False,False,NO_TRADE,0,,,0.031285742001819994,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-19,165.15049743652344,165.7949981689453,162.8000030517578,163.0240020751953,160.60000610351562,165.62449645996094,0.031285742001819994,-0.0028618895970626834,False,True,False,NO_TRADE,0,,,-0.012876106305071522,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-20,162.60000610351562,165.63099670410156,161.89999389648438,164.86849975585938,165.15049743652344,163.0240020751953,-0.012876106305071522,-0.0026008193044121386,False,True,False,NO_TRADE,0,,,0.013951374951976181,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-21,164.75,165.72000122070312,163.76950073242188,164.23599243164062,162.60000610351562,164.86849975585938,0.013951374951976181,-0.0007187531640965306,False,True,False,NO_TRADE,0,,,-0.003119924542393737,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-24,165.50750732421875,169.01600646972656,162.8780059814453,165.3730010986328,164.75,164.23599243164062,-0.003119924542393737,0.007741999020752788,False,False,False,NO_TRADE,0,,,-0.0008126895737874396,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-25,164.74949645996094,167.8699951171875,163.35000610351562,167.32449340820312,165.50750732421875,165.3730010986328,-0.0008126895737874396,-0.003770292820047483,False,True,False,NO_TRADE,0,,,0.015629771280472493,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-26,167.5554962158203,172.58700561523438,167.22850036621094,172.09249877929688,164.74949645996094,167.32449340820312,0.015629771280472493,0.0013805677992022591,False,False,False,NO_TRADE,0,,,0.027077611095685405,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-27,172.50250244140625,172.64999389648438,168.89999389648438,170.0,167.5554962158203,172.09249877929688,0.027077611095685405,0.0023824609731257773,False,False,False,NO_TRADE,0,,,-0.01450705007746933,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-28,171.14999389648438,171.6685028076172,169.3249969482422,170.08999633789062,172.50250244140625,170.0,-0.01450705007746933,0.006764669979319793,False,False,False,NO_TRADE,0,,,-0.00619338356059107,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-08-31,170.44949340820312,174.75,170.25,172.54800415039062,171.14999389648438,170.08999633789062,-0.00619338356059107,0.0021135697457381752,False,False,False,NO_TRADE,0,,,0.012311627921133494,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-09-01,174.47900390625,175.69349670410156,173.35000610351562,174.95599365234375,170.44949340820312,172.54800415039062,0.012311627921133494,0.011191087172334635,False,False,False,NO_TRADE,0,,,0.0027337945277934317,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-09-02,177.35000610351562,177.6125030517578,174.33450317382812,176.57249450683594,174.47900390625,174.95599365234375,0.0027337945277934317,0.013683512071778647,False,False,False,NO_TRADE,0,,,-0.00438405170522449,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-09-03,174.25,174.42050170898438,165.14999389648438,168.39999389648438,177.35000610351562,176.57249450683594,-0.00438405170522449,-0.013153206638002346,False,True,False,NO_TRADE,0,,,-0.03357248839894189,0.0,0.0,0.0,0.0,101112.47887451212,0.011124788745121128,101112.47887451212,0.0,NO_TRADE
2020-09-04,165.89999389648438,169.0749969482422,155.55650329589844,164.7310028076172,174.25,168.39999389648438,-0.03357248839894189,-0.014845606238779063,True,True,True,BUY_OPEN_SELL_CLOSE,1,165.94146889495852,164.6898200569153,-0.0070463600474668375,-0.007542712779260219,0.0005,-0.00804271277926022,-0.0070463600474668375,100299.2602485254,0.0029926024852540145,101112.47887451212,-0.008042712779260164,LOSS
2020-09-08,157.1999969482422,162.54249572753906,156.5,157.49200439453125,165.89999389648438,164.7310028076172,-0.0070463600474668375,-0.04571699152569453,False,True,False,NO_TRADE,0,,,0.0018575537656353447,0.0,0.0,0.0,0.0,100299.2602485254,0.0029926024852540145,101112.47887451212,-0.008042712779260164,NO_TRADE
2020-09-09,160.14950561523438,165.15899658203125,159.25,163.4304962158203,157.1999969482422,157.49200439453125,0.0018575537656353447,0.01687388023868097,False,False,False,NO_TRADE,0,,,0.02048704794923717,0.0,0.0,0.0,0.0,100299.2602485254,0.0029926024852540145,101112.47887451212,-0.008042712779260164,NO_TRADE
2020-09-10,165.36099243164062,167.4945068359375,158.52749633789062,158.7554931640625,160.14950561523438,163.4304962158203,0.02048704794923717,0.011812337724722788,False,False,False,NO_TRADE,0,,,-0.03994593386532075,0.0,0.0,0.0,0.0,100299.2602485254,0.0029926024852540145,101112.47887451212,-0.008042712779260164,NO_TRADE
2020-09-11,160.4344940185547,160.86700439453125,154.19900512695312,155.81100463867188,165.36099243164062,158.7554931640625,-0.03994593386532075,0.010576017377597502,True,False,False,NO_TRADE,0,,,-0.02881854932860073,0.0,0.0,0.0,0.0,100299.2602485254,0.0029926024852540145,101112.47887451212,-0.008042712779260164,NO_TRADE
2020-09-14,158.64700317382812,159.3695068359375,154.8000030517578,155.14849853515625,160.4344940185547,155.81100463867188,-0.02881854932860073,0.01820152910080375,True,False,False,NO_TRADE,0,,,-0.022052131894597427,0.0,0.0,0.0,0.0,100299.2602485254,0.0029926024852540145,101112.47887451212,-0.008042712779260164,NO_TRADE
2020-09-15,156.80799865722656,158.75100708007812,155.4459991455078,157.80650329589844,158.64700317382812,155.14849853515625,-0.022052131894597427,0.010696204847217894,True,False,False,NO_TRADE,0,,,0.006367689449659597,0.0,0.0,0.0,0.0,100299.2602485254,0.0029926024852540145,101112.47887451212,-0.008042712779260164,NO_TRADE
2020-09-16,158.99949645996094,159.36199951171875,153.70750427246094,153.90499877929688,156.80799865722656,157.80650329589844,0.006367689449659597,0.007559847909598183,False,False,False,NO_TRADE,0,,,-0.032040967387258035,0.0,0.0,0.0,0.0,100299.2602485254,0.0029926024852540145,101112.47887451212,-0.008042712779260164,NO_TRADE
2020-09-17,150.46249389648438,151.47149658203125,148.62750244140625,150.43649291992188,158.99949645996094,153.90499877929688,-0.032040967387258035,-0.022367726260464904,True,True,True,BUY_OPEN_SELL_CLOSE,1,150.5001095199585,150.3988837966919,-0.00017280702910849044,-0.0006725956784314757,0.0005,-0.0011725956784314757,-0.00017280702910849044,100181.6497694081,0.0018164976940810984,101112.47887451212,-0.009205877607443846,LOSS
2020-09-18,151.58700561523438,151.88999938964844,145.27699279785156,147.74549865722656,150.46249389648438,150.43649291992188,-0.00017280702910849044,0.007647829811646245,False,False,False,NO_TRADE,0,,,-0.02534192784148348,0.0,0.0,0.0,0.0,100181.6497694081,0.0018164976940810984,101112.47887451212,-0.009205877607443846,NO_TRADE
2020-09-21,145.3249969482422,148.10000610351562,143.5500030517578,148.02349853515625,151.58700561523438,147.74549865722656,-0.02534192784148348,-0.01638291339487774,True,True,True,BUY_OPEN_SELL_CLOSE,1,145.36132819747925,147.98649266052246,0.018568736580638845,0.018059579501618295,0.0005,0.017559579501618294,0.018568736580638845,101940.7974131373,0.019407974131373074,101940.7974131373,0.0,WIN
2020-09-22,151.69200134277344,156.69949340820312,150.00999450683594,156.44949340820312,145.3249969482422,148.02349853515625,0.018568736580638845,0.024783246200236864,False,False,False,NO_TRADE,0,,,0.03136284064628647,0.0,0.0,0.0,0.0,101940.7974131373,0.019407974131373074,101940.7974131373,0.0,NO_TRADE
2020-09-23,156.02149963378906,156.35000610351562,149.61900329589844,149.9929962158203,151.69200134277344,156.44949340820312,0.03136284064628647,-0.002735667371560946,False,True,False,NO_TRADE,0,,,-0.03863892753318454,0.0,0.0,0.0,0.0,101940.7974131373,0.019407974131373074,101940.7974131373,0.0,NO_TRADE
2020-09-24,148.88949584960938,153.46499633789062,148.25,150.989501953125,156.02149963378906,149.9929962158203,-0.03863892753318454,-0.007357012620930248,True,True,True,BUY_OPEN_SELL_CLOSE,1,148.92671822357178,150.95175457763673,0.014104461107429689,0.013597535608250721,0.0005,0.013097535608250721,0.014104461107429689,103275.97063718937,0.03275970637189363,103275.97063718937,0.0,WIN
2020-09-25,152.7429962158203,155.07699584960938,149.9499969482422,154.75650024414062,148.88949584960938,150.989501953125,0.014104461107429689,0.011613352186827353,False,False,False,NO_TRADE,0,,,0.013182300191854956,0.0,0.0,0.0,0.0,103275.97063718937,0.03275970637189363,103275.97063718937,0.0,NO_TRADE
2020-09-28,157.4425048828125,158.7519989013672,155.85850524902344,158.70249938964844,152.7429962158203,154.75650024414062,0.013182300191854956,0.017356328389660503,False,False,False,NO_TRADE,0,,,0.008002886563407863,0.0,0.0,0.0,0.0,103275.97063718937,0.03275970637189363,103275.97063718937,0.0,NO_TRADE
2020-09-29,158.76950073242188,159.41299438476562,156.6269989013672,157.24400329589844,157.4425048828125,158.70249938964844,0.008002886563407863,0.00042218202631416624,False,False,False,NO_TRADE,0,,,-0.009608252400405304,0.0,0.0,0.0,0.0,103275.97063718937,0.03275970637189363,103275.97063718937,0.0,NO_TRADE
2020-09-30,157.0570068359375,160.6439971923828,156.69949340820312,157.43649291992188,158.76950073242188,157.24400329589844,-0.009608252400405304,-0.0011892120274313855,False,True,False,NO_TRADE,0,,,0.002416231479444919,0.0,0.0,0.0,0.0,103275.97063718937,0.03275970637189363,103275.97063718937,0.0,NO_TRADE
2020-10-01,160.39999389648438,161.1999969482422,158.60000610351562,161.06300354003906,157.0570068359375,157.43649291992188,0.002416231479444919,0.018823469207166932,False,False,False,NO_TRADE,0,,,0.0041334767380512005,0.0,0.0,0.0,0.0,103275.97063718937,0.03275970637189363,103275.97063718937,0.0,NO_TRADE
