Metric,Value
Accuracy,0.5331125827814569
Balanced Accuracy,0.5043133802816901
Precision - BUY,0.6
Recall - BUY,0.02112676056338028
F1 Score - BUY,0.04081632653061224
Specificity - NO_TRADE,0.9875
True Positive,3.0
False Positive,2.0
True Negative,158.0
False Negative,139.0
