Metric,Value
Accuracy,0.5529801324503312
Balanced Accuracy,0.5266285211267605
Precision - BUY,0.7058823529411765
Recall - BUY,0.08450704225352113
F1 Score - BUY,0.1509433962264151
Specificity - NO_TRADE,0.96875
ROC-AUC,0.4996478873239436
True Positive,12.0
False Positive,5.0
True Negative,155.0
False Negative,130.0
