classifier,regressor,probability_quantile,return_quantile,probability_threshold,return_threshold,precision,recall,f1,balanced_accuracy,roc_auc,total_return,sharpe_ratio,win_rate,maximum_drawdown,number_of_trades,excess_return,excess_sharpe,classification_pass,economic_pass,objective_score
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.55,0.2769093201753765,-0.0006060445721779821,0.48854961832061067,0.463768115942029,0.4758364312267658,0.5185082617926705,0.46086033416412814,-0.10509847945479056,-0.34144162391119204,0.48854961832061067,-0.28416640689773753,131,-0.20134614924518457,-2.188336564910362,True,False,-0.5296407692300957
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.6000000000000001,0.2769093201753765,-0.0003444737265971562,0.47413793103448276,0.39855072463768115,0.4330708661417323,0.5050078463952736,0.46086033416412814,-0.12904915394989147,-0.46558544284563347,0.47413793103448276,-0.30239206627147364,116,-0.22529682374028548,-2.312480383844804,False,False,-0.741372300053272
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.65,0.2769093201753765,-9.406458653044818e-05,0.4752475247524752,0.34782608695652173,0.401673640167364,0.5051232345610634,0.46086033416412814,-0.12125641462127312,-0.4564214372512634,0.4752475247524752,-0.30748962246481615,101,-0.21750408441166713,-2.3033163782504333,False,False,-0.704999274326459
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.7000000000000001,0.2769093201753765,7.027969620944319e-05,0.47126436781609193,0.2971014492753623,0.36444444444444446,0.502053909351057,0.46086033416412814,-0.09497789926833344,-0.3413957205782176,0.47126436781609193,-0.2751019181698521,87,-0.19122556905872745,-2.188290661577388,False,False,-0.5236547938611507
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.75,0.2769093201753765,0.00034239684050220475,0.4861111111111111,0.2536231884057971,0.3333333333333333,0.50897719929844,0.46086033416412814,-0.04878544772908977,-0.12972119377976313,0.4861111111111111,-0.2344484778773095,72,-0.14503311751948378,-1.9766161347789333,True,False,-0.18262458365265308
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.8,0.2769093201753765,0.0006157744171689808,0.47368421052631576,0.1956521739130435,0.27692307692307694,0.5022846856826364,0.46086033416412814,-0.020244603320878296,-0.005604242551404567,0.47368421052631576,-0.21029392339911968,57,-0.1164922731112723,-1.8524991835505746,False,False,0.005444655908108033
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.0,0.30568956611764964,-0.006771974110182478,0.461864406779661,0.7898550724637681,0.5828877005347594,0.49046893750576936,0.46086033416412814,-0.27758075216870204,-0.9647351965725173,0.461864406779661,-0.4018924180438216,236,-0.37382842195909605,-2.8116301375716874,False,False,-1.744037705161439
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.05,0.30568956611764964,-0.004807381007318475,0.4672489082969432,0.7753623188405797,0.5831062670299727,0.49914612757315613,0.46086033416412814,-0.2576857197663909,-0.8823495571754586,0.4672489082969432,-0.38742098904495137,229,-0.3539333895567849,-2.7292444981746287,False,False,-1.5935876779365001
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.1,0.30568956611764964,-0.0036120599840543453,0.4794520547945205,0.7608695652173914,0.5882352941176471,0.5173774577679313,0.46086033416412814,-0.21108983077995158,-0.6896844350684556,0.4794520547945205,-0.3376190477325117,219,-0.3073375005703456,-2.5365793760676256,False,False,-1.2365101716865698
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.15000000000000002,0.30568956611764964,-0.0030473106647234,0.47619047619047616,0.7246376811594203,0.5747126436781609,0.5120003692421305,0.46086033416412814,-0.20992108497090167,-0.6982506099321631,0.47619047619047616,-0.34204880339826294,210,-0.3061687547612957,-2.545145550931333,False,False,-1.2409784358420672
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.2,0.30568956611764964,-0.002630929774753457,0.46798029556650245,0.6884057971014492,0.5571847507331378,0.5002538539647373,0.46086033416412814,-0.2264690338425892,-0.7801598211920192,0.46798029556650245,-0.34002453656339326,203,-0.3227167036329832,-2.6270547621911895,False,False,-1.3799282507360762
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.25,0.30568956611764964,-0.002214238866954062,0.4742268041237113,0.6666666666666666,0.5542168674698795,0.5084925690021231,0.46086033416412814,-0.1925111147402766,-0.6327123555651558,0.4742268041237113,-0.31105169077258776,194,-0.2887587845306706,-2.479607296564326,False,False,-1.1234314635442149
HistGradientBoostingClassifier,RandomForestRegressor,0.2,0.30000000000000004,0.30568956611764964,-0.0018979139170645326,0.47540983606557374,0.6304347826086957,0.5420560747663551,0.5094849072279147,0.46086033416412814,-0.16321408878890198,-0.5309019059451832,0.47540983606557374,-0.3254524084676641,183,-0.259461758579296,-2.3777968469443533,False,False,-0.9185776235440766
